,derniéra otce,debut syna,sezón rozestupu,společných okruhů,společných soupeřů
Michael a Mick Schumacherovi,2012,2021,8,18,8
Jonathan a Jolyon Palmerovi,1989,2016,26,10,0
Jos a Max Verstappenovi,2003,2015,11,15,3
Jan a Kevin Magnussenovi,1998,2014,15,14,0
Nelson a Nelsinho Piquetovi,1991,2008,16,11,0
Manfred a Markus Winkelhockovi,1985,2007,21,1,0
Satoru a Kazuki Nakajimovi,1991,2007,15,11,0
Keke a Nico Rosbergovi,1986,2006,19,12,0
Gilles a Jacques Villeneuvovi,1982,1996,13,9,0
Mario a Michael Andretti,1982,1993,10,8,5
Graham a Damon Hillovi,1975,1992,16,10,0
Wilson a Christian Fittipaldi,1975,1992,16,5,0
Jack a Gary Brabhamovi,1970,1990,19,0,0
Jack a David Brabhamovi,1970,1990,19,6,0
Hans a Hans-Joachim Stuckovi,1953,1974,20,2,0
André a Teddy Pilettovi,1964,1974,9,1,2
Reg a Tim Parnellovi,1954,1959,4,1,6
