,závodů,titulů,bodů,vítězství,poles,top výsledek
Max Verstappen,164,2.0,2008.5,36.0,21.0,1.
Nico Rosberg,206,1.0,1594.5,23.0,30.0,1.
Damon Hill,122,1.0,360.0,22.0,20.0,1.
Jacques Villeneuve,165,1.0,235.0,11.0,13.0,1.
Kevin Magnussen,143,0.0,179.0,0.0,0.0,2.
Hans-Joachim Stuck,81,0.0,29.0,0.0,0.0,3.
Mick Schumacher,44,0.0,12.0,0.0,0.0,6.
Christian Fittipaldi,43,0.0,12.0,0.0,0.0,4.
Jolyon Palmer,37,0.0,9.0,0.0,0.0,6.
Kazuki Nakajima,36,0.0,9.0,0.0,0.0,6.
David Brabham,30,0.0,0.0,0.0,0.0,10.
Nelson Piquet Jr.,28,0.0,19.0,0.0,0.0,2.
Michael Andretti,13,0.0,7.0,0.0,0.0,3.
Teddy Pilette,4,0.0,0.0,0.0,0.0,17.
Tim Parnell,4,0.0,0.0,0.0,0.0,10.
Gary Brabham,2,0.0,0.0,0.0,0.0,0.
Markus Winkelhock,1,0.0,0.0,0.0,0.0,0.
